StatusNum,AvgStatusShare,MaxStatusShare,AvgStatusCmt,MaxStatusCmt,StatusTimeDiff,MinStatusTimeDiff,StatusTextLength,AvgStatusEmoticon,BlogNum,AvgBlogShare,MaxBlogShare,AvgBlogCmt,MaxBlogCmt,AvgBlogView,MaxBlogView,BlogTimeDiff,MinBlogTimeDiff,BlogTitleLength,BlogTextLength,PublicRatio,AvgImg,MaxImg,ShareNum,PhotoRatio,BlogRatio,VideoRatio,OtherRatio,AvgShareCmt,MaxShareCmt,ShareTimeDiff,MinShareTimeDiff,HanziRatio,StarNum,BasicInfo,Education,WorkNum,LikeNum,AppCount,VisitorCount,PageCount,ZhanCount,MusicCount,MovieCount,FriendCount,FriendDensity,Agreeableness,Openness,Conscientiousness,Neuroticism,Extraversion
837,0.739545998,9,3.810035842,146,54032.76435,19,24.93309438,1.321385902,2,8,16,2.5,4,131.5,164,623804,623804,8,909.5,1,0,0,737,0.65807327,0.242876526,0.063772049,0.035278155,1.94165536,41,82325.90489,14,1,0,3,5,0,0,0,10845,82,0,0,0,967,0,0.833,0.65,0.306,0.469,0.594
4415,0.15583239,7,5.684258211,283,16949.0222,10,26.03533409,0.278595696,69,2.391304348,25,16.39130435,82,109.5217391,265,898258.7941,365,6.362318841,1505.797101,1,0.217391304,15,544,0.564338235,0.251838235,0.128676471,0.055147059,2.023897059,44,135982.0589,3,1,0,3,4,0,7,92,16980,29,1,0,27,420,0,0.528,0.675,0.333,0.719,0.688
300,0.396666667,4,2.713333333,32,95300.72575,2,15.92333333,0.113333333,16,3.3125,16,21,66,163.5625,407,3513444,257,13.8125,1561.25,0.8125,8.75,100,1197,0.590643275,0.262322473,0.08855472,0.058479532,1.762740184,74,58083.10702,4,1,0,3,6,0,7,134,4780,192,33,1,0,891,0,0.583,0.375,0.389,0.5,0.531
1126,0.55062167,5,3.407637655,98,64493.52089,12,23.97246892,1.571936057,1,0,0,19,19,118,118,0,2147483647,7,1615,1,22,22,1256,0.647292994,0.212579618,0.109872611,0.030254777,2.292197452,87,58069.67729,11,1,0,3,4,0,0,99,2600,83,22,2,0,502,0,0.528,0.725,0.417,0.688,0.594
86,0.825581395,10,2.593023256,20,519742.0824,19,29.74418605,0.197674419,1,0,0,5,5,59,59,0,2147483647,19,210,1,8,8,170,0.547058824,0.276470588,0.152941176,0.023529412,0.923529412,6,233351.8757,4,0.25,1,3,4,0,0,13,1383,31,4,0,0,523,0,0.75,0.7,0.417,0.281,0.406
223,0.165919283,4,2.170403587,36,329183.6847,10,38.47085202,0.156950673,5,0,0,3,5,42,149,9696104.75,3867445,17.6,8343.6,1,6,30,217,0.304147465,0.239631336,0.110599078,0.34562212,2.01843318,17,322198.3287,22,1,1,0,0,0,0,27,944,31,6,1,0,233,0,0.75,0.9,0.472,0.625,0.406
197,0.593908629,7,5.502538071,42,354429.5306,5,26.42639594,0.781725888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0.446601942,0.359223301,0.165048544,0.029126214,2.242718447,24,669100.6569,76,1,0,3,5,0,0,38,3234,29,12,0,0,527,0,0.65,0.806,0.778,0.375,0.531
55,0.545454545,4,6.909090909,41,1248732.556,853,30.27272727,0.454545455,6,3.666666667,13,11.83333333,37,90.33333333,181,1.07E+07,3970164,15.5,2369,1,22.16666667,72,96,0.46875,0.375,0.0625,0.09375,3.010416667,31,714849.9474,91,0.166666667,0,3,4,0,7,103,11996,44,16,10,11,624,0,0.694,0.575,0.472,0.406,0.5
297,0.276094276,3,7.919191919,152,240999.4426,15,27.85858586,0.744107744,1,0,0,12,12,40,40,0,2147483647,5,43,1,0,0,157,0.503184713,0.382165605,0.101910828,0.012738854,1.643312102,20,451178.25,341,0.25,0,3,3,0,0,31,836,25,6,0,0,191,0,0.639,0.375,0.306,0.5,0.25
969,0.234262126,4,4.165118679,120,73822.49587,16,38.23529412,0.98245614,3,0.333333333,1,1.333333333,2,38,66,2.59E+07,986023,11.66666667,796.3333333,1,1,3,464,0.657327586,0.234913793,0.058189655,0.049568966,2.13362069,44,153449.8229,3,0.333333333,1,3,4,0,2,0,4765,60,0,0,0,316,0,0.667,0.65,0.306,0.5,0.531
